91	54	77	59	86	63
76	87	86	64	55	60
38	81	14	42	33	86
15	94	67	60	59	9
84	6	20	45	92	5
33	30	80	8	31	37
30	40	81	36	63	83
35	19	94	80	100	41
70	51	85	93	90	19
30	48	19	58	93	83
51	24	81	79	96	57
30	72	95	63	80	88
49	61	73	75	1	69
54	80	6	50	12	17
11	26	23	46	33	85
19	77	24	33	55	20
56	78	24	48	79	55
100	37	2	78	26	29
93	85	68	87	66	77
32	28	48	42	78	89
86	79	13	11	31	78
44	93	99	26	24	98
98	89	26	68	10	86
61	80	79	52	22	29
69	52	16	29	76	36
43	41	23	36	22	63
21	58	47	89	59	91
3	53	27	82	25	6
4	87	68	15	30	65
33	30	42	47	87	75
62	11	95	43	87	53
70	41	94	30	3	69
12	31	52	95	20	30
6	94	16	1	10	56
8	48	42	69	80	57
89	8	92	100	23	86
25	92	20	59	35	23
75	85	93	57	46	97
64	65	42	90	56	77
52	74	38	85	83	59
99	56	20	19	46	95
98	91	19	22	9	15
96	60	5	93	99	63
1	42	67	7	77	56
32	7	35	31	43	6
30	36	58	91	16	57
30	57	9	2	63	8
51	81	54	52	21	37
32	1	16	88	14	81
51	35	37	54	22	34
36	79	62	87	17	58
68	90	14	71	75	76
65	15	40	34	29	97
74	86	44	16	32	8
16	55	29	71	47	13
74	40	20	3	13	34
98	11	66	91	23	50
100	48	53	15	22	83
68	74	94	81	16	55
91	44	12	84	61	16
1	3	67	61	66	32
43	42	7	86	55	47
85	84	44	83	90	19
8	25	86	91	88	35
9	64	17	46	50	88
41	65	72	36	54	73
82	29	37	31	96	24
36	78	21	90	48	13
76	32	78	12	95	22
92	28	34	95	73	17
34	18	87	29	93	44
27	15	55	92	31	81
34	46	51	4	3	69
61	90	95	91	18	68
81	14	55	32	15	88
57	3	94	15	7	19
18	14	20	80	73	7
74	14	67	10	57	41
80	71	5	53	60	8
28	53	23	30	92	43
29	6	1	46	78	47
31	11	100	22	35	23
7	40	76	4	29	53
14	2	54	62	79	77
1	80	63	87	13	68
50	75	36	78	21	43
26	45	1	6	42	73
66	22	39	30	74	70
79	69	76	94	9	68
62	59	67	79	35	72
63	65	81	32	80	85
20	95	22	19	32	58
6	26	39	95	51	15
21	93	52	38	1	95
29	75	31	88	30	76
51	26	53	33	10	67
35	25	76	39	82	26
71	86	48	26	58	94
50	21	82	29	19	6
56	65	36	10	8	52
46	67	39	74	11	49
17	14	56	78	49	51
32	5	51	46	81	79
76	22	8	60	26	51
27	97	37	86	14	25
