83	39	76	76	10
54	72	67	98	37
53	62	16	34	76
56	35	15	16	35
72	92	24	38	72
33	75	62	35	66
76	78	99	92	62
100	35	42	39	30
64	47	78	78	12
32	99	95	40	83
100	14	85	46	31
94	75	64	55	73
75	23	49	92	68
74	76	71	26	40
94	64	76	64	43
73	77	57	19	21
48	38	55	93	83
42	79	97	64	38
81	29	46	74	19
56	58	57	48	69
82	27	31	20	60
88	68	35	18	35
66	41	21	53	33
95	14	41	47	81
27	56	69	26	20
45	96	67	46	23
77	31	32	48	47
76	84	40	28	48
23	67	87	50	94
55	20	66	43	30
66	19	50	60	19
43	29	87	62	49
47	92	20	95	82
20	38	64	15	99
65	75	40	22	43
93	92	11	74	81
15	86	26	77	23
23	72	71	96	55
20	82	93	53	60
29	67	97	91	97
19	96	85	59	89
75	60	49	89	67
46	82	61	52	97
39	17	94	88	99
100	11	34	32	14
12	97	21	34	58
91	47	77	70	39
30	67	62	66	25
29	82	74	12	93
44	22	34	56	89
31	86	12	24	24
10	26	23	12	96
99	61	90	14	44
48	62	25	42	72
91	30	28	34	95
45	36	29	81	43
49	50	54	90	29
77	61	11	74	13
67	22	35	52	95
26	46	72	71	33
89	88	71	96	27
59	21	86	92	32
41	93	39	27	99
98	78	36	43	71
97	82	63	59	39
27	84	22	41	46
50	71	24	20	10
56	41	84	22	75
33	31	33	95	44
89	14	89	61	95
31	55	17	25	15
81	27	96	47	65
80	22	54	33	46
47	63	11	69	87
93	55	78	66	95
86	54	75	59	89
68	57	20	78	28
68	31	34	93	27
17	46	46	74	58
93	45	72	89	55
73	70	18	24	70
42	26	57	60	33
100	49	80	92	26
76	72	58	58	78
35	66	89	54	38
82	45	88	85	74
53	19	63	86	19
71	39	69	93	79
29	49	64	44	95
47	34	20	97	99
94	26	23	88	21
95	51	67	19	49
84	62	92	42	47
55	91	37	33	37
44	70	77	17	16
28	99	42	11	47
51	92	11	15	49
68	25	89	44	68
18	72	45	84	12
36	91	32	21	13
27	27	77	42	59
67	91	46	28	90
99	30	65	80	65
98	83	83	52	59
67	40	13	44	79
38	63	90	77	40
19	77	11	56	17
27	54	47	40	41
28	25	37	76	80
63	97	32	26	43
11	87	13	18	78
90	89	36	14	18
93	12	65	45	48
37	54	100	18	41
27	66	84	55	23
46	96	44	14	50
50	14	46	39	84
81	67	56	21	17
36	41	46	32	74
82	22	14	37	65
99	70	88	30	70
87	61	38	57	52
21	23	32	26	16
61	46	47	72	81
52	58	57	89	61
13	21	54	85	82
24	12	28	37	83
75	14	79	43	72
17	60	53	44	61
61	44	33	94	90
50	62	75	66	17
44	38	20	12	72
59	83	92	64	59
60	71	64	19	48
35	68	21	87	89
14	69	50	40	97
100	98	31	91	77
84	87	21	84	73
66	99	10	74	97
36	47	72	19	15
52	22	69	94	78
83	33	13	65	57
89	94	31	17	61
79	27	97	36	49
50	51	60	16	51
64	33	96	75	80
98	12	44	11	78
94	87	40	39	13
40	83	89	26	52
12	22	54	35	13
36	93	59	26	28
95	53	39	13	17
89	77	17	36	24
59	53	94	90	46
81	23	85	26	26
86	73	95	65	76
68	34	40	82	80
89	70	50	94	92
25	12	20	24	85
99	53	58	84	33
69	92	36	31	15
80	47	17	85	44
